,X,DOSE,DOSE_UNIT,RECOMP_DOSE
602,3017913010,100,mg/kg,NA
603,3017913009,100,mg/kg,NA
604,3017913008,100,mg/kg,NA
605,3017913007,30,mg/kg,NA
606,3017913006,30,mg/kg,NA
607,3017913005,30,mg/kg,NA
608,3017913004,10,mg/kg,NA
609,3017913003,10,mg/kg,NA
610,3017913002,10,mg/kg,NA
611,3017913001,0,mg/kg,NA
612,3017912030,0,mg/kg,NA
613,3017912029,0,mg/kg,NA
614,3017912028,100,mg/kg,NA
615,3017912027,100,mg/kg,NA
616,3017912026,100,mg/kg,NA
617,3017912025,30,mg/kg,NA
618,3017912024,30,mg/kg,NA
619,3017912023,30,mg/kg,NA
620,3017912022,10,mg/kg,NA
621,3017912021,10,mg/kg,NA
622,3017912020,10,mg/kg,NA
623,3017912019,0,mg/kg,NA
624,3017912018,0,mg/kg,NA
625,3017912011,1000,mg/kg,NA
626,3017912010,1000,mg/kg,NA
627,3017912009,1000,mg/kg,NA
628,3017912008,300,mg/kg,NA
629,3017912007,300,mg/kg,NA
630,3017912006,300,mg/kg,NA
631,3017912005,100,mg/kg,NA
632,3017912004,100,mg/kg,NA
633,3017912003,100,mg/kg,NA
634,3017912002,0,mg/kg,NA
635,3017912001,0,mg/kg,NA
636,3017911030,0,mg/kg,NA
637,3017911029,0,%,NA
638,3017911028,200,fEg/kg,NA
639,3017911027,200,fEg/kg,NA
640,3017911026,200,fEg/kg,NA
641,3017911025,20,fEg/kg,NA
642,3017911024,20,fEg/kg,NA
643,3017911023,20,fEg/kg,NA
644,3017911022,2,fEg/kg,NA
645,3017911021,2,fEg/kg,NA
646,3017911020,2,fEg/kg,NA
647,3017911019,0,fEg/kg,NA
648,3017911018,0,fEg/kg,NA
649,3017911017,0,fEg/kg,NA
650,3017911016,200,fEg/kg,NA
651,3017911015,200,fEg/kg,NA
652,3017911014,200,fEg/kg,NA
653,3017911013,20,fEg/kg,NA
654,3017911012,20,fEg/kg,NA
655,3017911011,20,fEg/kg,NA
656,3017911010,2,fEg/kg,NA
657,3017911009,2,fEg/kg,NA
658,3017911008,2,fEg/kg,NA
